id,name,ancestry
1,レディース,
2,メンズ,
3,ベビー・キッズ,
4,インテリア・住まい・小物,
5,本・音楽・ゲーム,
6,おもちゃ・ホビー・グッズ,
7,コスメ・香水・美容,
8,家電・スマホ・カメラ,
9,スポーツ・レジャー,
10,ハンドメイド,
11,チケット,
12,自転車・オートバイ,
13,その他,
14,トップス,1
15,ジャケット/アウター,1
16,パンツ,1
17,スカート,1
18,ワンピース,1
19,靴,1
20,ルームウェア/パジャマ,1
21,レッグウェア,1
22,帽子,1
23,バッグ,1
24,アクセサリー,1
25,ヘアアクセサリー,1
26,小物,1
27,時計,1
28,Tシャツ/カットソー(半袖/袖なし ),1/14
29,Tシャツ/カットソー(七分/長袖),1/14
30,シャツ/ブラウス(半袖/袖なし ),1/14
31,シャツ/ブラウス(七分/長袖),1/14
32,ポロシャツ,1/14
33,キャミソール,1/14
34,タンクトップ,1/14
35,ホルターネック,1/14
36,ニット/セーター,1/14
37,チュニック,1/14
38,カーディガン/ボレロ,1/14
39,アンサンブル,1/14
40,ベスト,1/14
41,ジレ,1/14
42,テーラードジャケット,1/15
43,ノーカラージャケット,1/15
44,Gジャン/デニムジャケット,1/15
45,レザージャケット,1/15
46,ダウンジャケット,1/15
47,ライダースジャケット,1/15
48,ミリタリージャケット,1/15
49,ダウンベスト,1/15
50,ジャンパー/ブルゾン,1/15
51,デニム/ジーンズ,1/16
52,ショートパンツ,1/16
53,カジュアルパンツ,1/16
54,ハーフパンツ,1/16
55,チノパン,1/16
56,ワークパンツ/カーゴパンツ,1/16
57,クロップドパンツ,1/16
58,サロペット/オーバーオール,1/16
59,ミニスカート,1/17
60,ひざ丈スカート,1/17
61,ロングスカート,1/17
62,キュロット,1/17
63,ハイヒール/パンプス,1/19
64,ブーツ,1/19
65,サンダル,1/19
66,スニーカー,1/19
67,トップス,2
68,ジャケット/アウター,2
69,パンツ,2
70,靴,2
71,バッグ,2
72,スーツ,2
73,帽子,2
74,アクセサリー,2
75,小物,2
76,時計,2
77,水着,2
78,レッグウェア,2
79,アンダーウェア,2
80,Tシャツ/カットソー(半袖/袖なし ),2/67
81,Tシャツ/カットソー(七分/長袖),2/67
82,シャツ/ブラウス(半袖/袖なし ),2/67
83,シャツ/ブラウス(七分/長袖),2/67
84,ポロシャツ,2/67
85,タンクトップ,2/67
86,ニット/セーター,2/67
87,パーカー,2/67
88,カーディガン,2/67
89,スウェット,2/67
90,ジャージ,2/67
91,ベスト,2/67
92,テーラードジャケット,2/68
93,ノーカラージャケット,2/68
94,Gジャン/デニムジャケット,2/68
95,レザージャケット,2/68
96,ダウンジャケット,2/68
97,ライダースジャケット,2/68
98,ミリタリージャケット,2/68
99,ナイロンジャケット,2/68
100,フライトジャケット,2/68
101,ダッフルコート,2/68
102,ピーコート,2/68
103,トレンチコート,2/68
104,モッズコート,2/68
105,ステンカラーコート,2/68
106,デニム/ジーンズ,2/69
107,ワークパンツ/カーゴパンツ,2/69
108,スラックス,2/69
109,チノパン,2/69
110,ショートパンツ,2/69
111,サルエル,2/69
112,スニーカー,2/70
113,サンダル,2/70
114,ブーツ,2/70
115,モカシン,2/70
116,ビジネス,2/70
117,デッキシューズ,2/70
118,ベビー服,3
119,キッズ服,3
120,ベビー靴,3
121,トップス,3/118
122,アウター,3/118
123,パンツ,3/118
124,トップス,3/119
125,アウター,3/119
126,パンツ,3/119
127,スニーカー,3/120
128,サンダル,3/120
129,ブーツ,3/120
130,キッチン,4
131,ベッド,4
132,ソファ,4
133,食器,4/130
134,調理器具,4/130
135,キッチン雑貨,4/130
136,シングルベッド,4/131
137,セミダブルベッド,4/131
138,ダブルベッド,4/131
139,ソファセット,4/132
140,シングルソファ,4/132
141,トリプルソファ,4/132
142,本,5
143,漫画,5
144,雑誌,5
145,文学,5/142
146,社会,5/142
147,ノンフィクション,5/142
148,少年漫画,5/143
149,少女漫画,5/143
150,青年漫画,5/143
151,ファッション,5/144
152,スポーツ,5/144
153,趣味,5/144
154,おもちゃ,6
155,タレントグッズ,6
156,フィギュア,6
157,キャラクターグッズ,6/154
158,ぬいぐるみ,6/154
159,小物,6/154
160,アイドル,6/155
161,ミュージシャン,6/155
162,タレント,6/155
163,バッジ,6/156
164,カード,6/156
165,ポスター,6/156
166,ベースメイク,7
167,メイクアップ,7
168,ネイルケア,7
169,ファンデーション,7/166
170,化粧下地,7/166
171,コンシーラー,7/166
172,アイシャドウ,7/167
173,口紅,7/167
174,リップグロス,7/167
175,ネイルカラー,7/168
176,カラージェル,7/168
177,ネイルパーツ,7/168
178,スマートフォン,8
179,スマホアクセサリー,8
180,カメラ,8
181,スマートフォン本体,8/178
182,バッテリー,8/178
183,携帯電話本体,8/178
184,Android用ケース,8/179
185,iphone用ケース,8/179
186,イヤホンジャック,8/179
187,デジタルカメラ,8/180
188,ビデオカメラ,8/180
189,防犯カメラ,8/180
190,ゴルフ,9
191,フィッシング,9
192,自転車,9
193,クラブ,9/190
194,バッグ,9/190
195,アクセサリー,9/190
196,ロッド,9/191
197,リール,9/191
198,ルアー用品,9/191
199,自転車本体,9/192
200,ウェア,9/192
201,パーツ,9/192
202,小物,10
203,時計,10
204,おもちゃ,10
205,バッグ,10/202
206,財布,10/202
207,ファッション雑貨,10/202
208,アクセサリー,10/203
209,時計,10/203
210,その他,10/203
211,クラフト,10/204
212,おもちゃ,10/204
213,その他,10/204
214,音楽,11
215,スポーツ,11
216,演芸,11
217,国内アーティスト,11/214
218,海外アーティスト,11/214
219,音楽フェス,11/214
220,サッカー,11/215
221,野球,11/215
222,テニス,11/215
223,ミュージカル,11/216
224,お笑い,11/216
225,サーカス,11/216
226,自動車本体,12
227,自動車タイヤ・ホイール,12
228,オートバイ本体,12
229,国内自動車本体,12/226
230,海外自動車本体,12/226
231,タイヤ,12/227
232,ホイール,12/227
233,その他,12/227
234,国内オートバイ車体,12/228
235,海外オートバイ車体,12/228
237,食品,13
238,飲料・酒,13
239,日用品,13
240,菓子,13/237
241,米,13/237
242,野菜,13/237
243,コーヒー,13/238
244,ソフトドリンク,13/238
245,ワイン,13/238
246,タオル,13/239
247,洗剤,13/239
248,防災グッズ,13/239